id,payment_id/id,value,value_amount,days,day_of_the_month,sequence
__setup__.account_payment_term_line_1,__setup__.account_payment_term_1,balance,,30,31,5
__setup__.account_payment_term_line_13,__setup__.account_payment_term_2,balance,,30,31,5
__setup__.account_payment_term_line_12,__setup__.account_payment_term_3,balance,,30,31,5
__setup__.account_payment_term_line_8,__setup__.account_payment_term_4,balance,,0,0,5
__setup__.account_payment_term_line_26,__setup__.account_payment_term_5,balance,0.33,60,0,15
__setup__.account_payment_term_line_25,__setup__.account_payment_term_5,percent,0.33,30,0,10
__setup__.account_payment_term_line_6,__setup__.account_payment_term_5,percent,0.34,0,0,5
__setup__.account_payment_term_line_16,__setup__.account_payment_term_6,balance,,30,31,5
__setup__.account_payment_term_line_15,__setup__.account_payment_term_7,balance,,0,0,5
__setup__.account_payment_term_line_30,__setup__.account_payment_term_8,balance,0.2,120,0,25
__setup__.account_payment_term_line_27,__setup__.account_payment_term_8,percent,0.2,30,0,10
__setup__.account_payment_term_line_28,__setup__.account_payment_term_8,percent,0.2,60,0,15
__setup__.account_payment_term_line_29,__setup__.account_payment_term_8,percent,0.2,90,0,20
__setup__.account_payment_term_line_7,__setup__.account_payment_term_8,percent,0.2,0,0,5
__setup__.account_payment_term_line_9,__setup__.account_payment_term_9,balance,,30,0,5
__setup__.account_payment_term_line_10,__setup__.account_payment_term_10,balance,,30,31,5
__setup__.account_payment_term_line_2,__setup__.account_payment_term_11,balance,,30,31,5
__setup__.account_payment_term_line_11,__setup__.account_payment_term_12,balance,,45,0,5
__setup__.account_payment_term_line_22,__setup__.account_payment_term_13,balance,,45,0,5
__setup__.account_payment_term_line_19,__setup__.account_payment_term_14,balance,,30,31,5
__setup__.account_payment_term_line_23,__setup__.account_payment_term_15,balance,,0,0,5
__setup__.account_payment_term_line_17,__setup__.account_payment_term_16,balance,,45,0,5
__setup__.account_payment_term_line_5,__setup__.account_payment_term_17,balance,,30,31,5
__setup__.account_payment_term_line_20,__setup__.account_payment_term_18,balance,,30,31,5
__setup__.account_payment_term_line_14,__setup__.account_payment_term_19,balance,,30,31,5
__setup__.account_payment_term_line_4,__setup__.account_payment_term_20,balance,,30,31,5
__setup__.account_payment_term_line_18,__setup__.account_payment_term_21,balance,,45,0,5
__setup__.account_payment_term_line_21,__setup__.account_payment_term_22,balance,,30,31,5
__setup__.account_payment_term_line_3,__setup__.account_payment_term_23,balance,,30,31,5
__setup__.account_payment_term_line_24,__setup__.account_payment_term_24,balance,0,0,0,5
__setup__.account_payment_term_line_31,__setup__.account_payment_term_25,balance,,0,0,5
__setup__.account_payment_term_line_32,__setup__.account_payment_term_26,balance,0,0,0,5
__setup__.account_payment_term_line_35,__setup__.account_payment_term_27,balance,0.33,30,0,15
__setup__.account_payment_term_line_33,__setup__.account_payment_term_27,percent,0.5,0,0,5
__setup__.account_payment_term_line_40,__setup__.account_payment_term_28,balance,0.2,120,0,25
__setup__.account_payment_term_line_36,__setup__.account_payment_term_28,percent,0.2,0,0,5
__setup__.account_payment_term_line_37,__setup__.account_payment_term_28,percent,0.2,30,0,10
__setup__.account_payment_term_line_38,__setup__.account_payment_term_28,percent,0.2,60,0,15
__setup__.account_payment_term_line_39,__setup__.account_payment_term_28,percent,0.2,90,0,20
__setup__.account_payment_term_line_41,__setup__.account_payment_term_29,balance,0,0,0,5
__setup__.account_payment_term_line_42,__setup__.account_payment_term_30,balance,,2,0,5
__setup__.account_payment_term_line_43,__setup__.account_payment_term_31,balance,0,30,0,5
__setup__.account_payment_term_line_44,__setup__.account_payment_term_32,balance,0,0,0,5
__setup__.account_payment_term_line_47,__setup__.account_payment_term_33,balance,,60,0,15
__setup__.account_payment_term_line_45,__setup__.account_payment_term_33,percent,0.33,0,0,5
__setup__.account_payment_term_line_46,__setup__.account_payment_term_33,percent,0.33,30,0,10
__setup__.account_payment_term_line_50,__setup__.account_payment_term_34,balance,43041.45,90,0,15
__setup__.account_payment_term_line_48,__setup__.account_payment_term_34,fixed,-13286.76,30,0,5
__setup__.account_payment_term_line_49,__setup__.account_payment_term_34,fixed,-43041.45,60,0,10
__setup__.account_payment_term_line_51,__setup__.account_payment_term_35,balance,0,30,0,5
__setup__.account_payment_term_line_52,__setup__.account_payment_term_36,balance,,0,0,5
__setup__.account_payment_term_line_53,__setup__.account_payment_term_37,balance,,60,0,5
__setup__.account_payment_term_line_54,__setup__.account_payment_term_38,balance,,60,31,5
__setup__.account_payment_term_line_55,__setup__.account_payment_term_39,balance,0,30,31,5
__setup__.account_payment_term_line_56,__setup__.account_payment_term_40,balance,0,45,0,5
__setup__.account_payment_term_line_57,__setup__.account_payment_term_41,balance,,0,0,5
__setup__.account_payment_term_line_58,__setup__.account_payment_term_42,balance,,90,0,5
__setup__.account_payment_term_line_61,__setup__.account_payment_term_43,balance,0.33,60,0,15
__setup__.account_payment_term_line_59,__setup__.account_payment_term_43,percent,0.34,0,0,5
__setup__.account_payment_term_line_60,__setup__.account_payment_term_43,percent,0.33,30,0,10
__setup__.account_payment_term_line_62,__setup__.account_payment_term_44,balance,,45,31,5
__setup__.account_payment_term_line_66,__setup__.account_payment_term_46,balance,,60,0,15
__setup__.account_payment_term_line_64,__setup__.account_payment_term_46,percent,0.33,0,0,5
__setup__.account_payment_term_line_65,__setup__.account_payment_term_46,percent,0.33,30,0,10
__setup__.account_payment_term_line_67,__setup__.account_payment_term_47,balance,,7,0,5
__setup__.account_payment_term_line_68,__setup__.account_payment_term_48,balance,,0,0,5
__setup__.account_payment_term_line_69,__setup__.account_payment_term_49,balance,,60,0,5
__setup__.account_payment_term_line_70,__setup__.account_payment_term_50,balance,,30,0,5
__setup__.account_payment_term_line_72,__setup__.account_payment_term_51,balance,,30,31,5
__setup__.account_payment_term_line_71,__setup__.account_payment_term_51,percent,0.30,0,0,3
__setup__.account_payment_term_line_73,__setup__.account_payment_term_52,balance,,0,0,
__setup__.account_payment_term_line_74,__setup__.account_payment_term_53,balance,,15,0,
__setup__.account_payment_term_line_75,__setup__.account_payment_term_54,balance,0.000000,30,15,
