id,name,active
__setup__.res_partner_category_14,Amazon,1
__setup__.res_partner_category_4,Artisan,1
__setup__.res_partner_category_19,Cdiscount,1
__setup__.res_partner_category_23,Client a surveiller,1
__setup__.res_partner_category_24,Client a surveiller,1
__setup__.res_partner_category_21,Client en Compte avec LCR,1
__setup__.res_partner_category_26,Client Radié a Vie,1
__setup__.res_partner_category_3,Collectivité,1
__setup__.res_partner_category_8,Employé Debonix France,1
__setup__.res_partner_category_7,Employé RM Distribution France,1
__setup__.res_partner_category_2,Entreprise,1
__setup__.res_partner_category_6,Fournisseur France,1
__setup__.res_partner_category_5,Fournisseur International,1
__setup__.res_partner_category_10,General,1
__setup__.res_partner_category_25,irrécouvrable,1
__setup__.res_partner_category_13,Mediacadeaux,1
__setup__.res_partner_category_1,Particulier,1
__setup__.res_partner_category_15,Pixmania,1
__setup__.res_partner_category_22,Prospect,1
__setup__.res_partner_category_12,Retailer,1
__setup__.res_partner_category_16,Rue du commerce,1
__setup__.res_partner_category_17,VIP,1
__setup__.res_partner_category_11,Wholesale,1
__setup__.res_partner_category_27,shoppingflux,1
__setup__.res_partner_category_31,CDiscount,1
__setup__.res_partner_category_32,²1,1
__setup__.res_partner_category_34,Priceminister,1
__setup__.res_partner_category_35,CHEZ RG AUTO,1
__setup__.res_partner_category_36,madm,1
__setup__.res_partner_category_18,Client en compte,1
__setup__.res_partner_category_37,Descours,1
__setup__.res_partner_category_38,Client en compte LCR,1
__setup__.res_partner_category_39,Stéphanie AUTRET,1
__setup__.res_partner_category_40,Showroomprivé,1
__setup__.res_partner_category_41,Showroomprivé,1
__setup__.res_partner_category_42,Litiges et ADV,1
__setup__.res_partner_category_43,bruno YVELIN,1
__setup__.res_partner_category_44,interphone cap synthese 1er ét,1
__setup__.res_partner_category_9,NOT LOGGED IN,1
__setup__.res_partner_category_45,4,1
__setup__.res_partner_category_46,Gilles Kibler,1
__setup__.res_partner_category_47,(gotzman),1
__setup__.res_partner_category_48,SDLP,1
__setup__.res_partner_category_49,chez Mr et Mme PAYA Serge et Marie,1
__setup__.res_partner_category_50,bricoprivado,1
__setup__.res_partner_category_51,IMPAYE,1
__setup__.res_partner_category_52,MARQUE THE OWL,1
__setup__.res_partner_category_53,DNI : 16803363T,1
__setup__.res_partner_category_54,LCR,1
__setup__.res_partner_category_55,GERANT,1
__setup__.res_partner_category_56,Fournisseur Frais Généraux,1
__setup__.res_partner_category_57,Debonix,1
__setup__.res_partner_category_59,EBAY,1
