id,parent_id/id
__setup__.res_partner_191815,__setup__.res_partner_124208
__setup__.res_partner_457562,__setup__.res_partner_457561
__setup__.res_partner_252974,__setup__.res_partner_117763
__setup__.res_partner_204549,__setup__.res_partner_159674
__setup__.res_partner_344877,__setup__.res_partner_126855
__setup__.res_partner_193006,__setup__.res_partner_39881
__setup__.res_partner_195505,__setup__.res_partner_133696
__setup__.res_partner_304500,__setup__.res_partner_84493
__setup__.res_partner_785130,__setup__.res_partner_785129
__setup__.res_partner_309324,__setup__.res_partner_90182
__setup__.res_partner_2009418,__setup__.res_partner_2009499
__setup__.res_partner_726441,__setup__.res_partner_726440
__setup__.res_partner_213859,__setup__.res_partner_39475
__setup__.res_partner_170392,__setup__.res_partner_79252
__setup__.res_partner_198595,__setup__.res_partner_142039
__setup__.res_partner_205291,__setup__.res_partner_162051
__setup__.res_partner_206682,__setup__.res_partner_166015
__setup__.res_partner_449661,__setup__.res_partner_449651
__setup__.res_partner_203917,__setup__.res_partner_157947
__setup__.res_partner_412910,__setup__.res_partner_153614
__setup__.res_partner_1021436,__setup__.res_partner_128899
__setup__.res_partner_289945,__setup__.res_partner_75635
__setup__.res_partner_179762,__setup__.res_partner_95754
__setup__.res_partner_194402,__setup__.res_partner_41392
__setup__.res_partner_287466,__setup__.res_partner_73040
__setup__.res_partner_594521,__setup__.res_partner_575858
__setup__.res_partner_282941,__setup__.res_partner_42627
__setup__.res_partner_211608,__setup__.res_partner_76554
__setup__.res_partner_196000,__setup__.res_partner_128899
__setup__.res_partner_401463,__setup__.res_partner_128899
__setup__.res_partner_176384,__setup__.res_partner_101216
__setup__.res_partner_178827,__setup__.res_partner_93192
__setup__.res_partner_184506,__setup__.res_partner_107532
__setup__.res_partner_709560,__setup__.res_partner_659024
__setup__.res_partner_491894,__setup__.res_partner_491805
